TITLE	КРУГОВОРОТЫ ВЕЩЕСТВ И ПРОЦЕССЫ НЕЖИВОЙ ПРИРОДЫ
TABLE	Путаемые понятия || Ошибочное представление || Научное объяснение /// Объект, явление и процесс || Все три понятия означают одно и то же; например, гора — явление. || Объект — тело или система (гора). Явление — наблюдаемое событие или проявление (молния). Процесс — изменение, развивающееся во времени (выветривание горы). /// Испарение и конденсация || Оба процесса означают переход воды в газообразное состояние. || Испарение — переход жидкости в газ. Конденсация — переход газа или пара в жидкость. /// Местное время и часовой пояс || Местное время одинаково на всех меридианах Земли. || Из-за вращения Земли местное солнечное время различается на разных меридианах. Для удобства используются часовые пояса.
4	10. 10 основных фактов, которые необходимо запомнить
	Естествознание изучает природу как целостный комплекс.
	Круговорот веществ — непрерывная циркуляция между литосферой, атмосферой, гидросферой и биосферой.
	Главный источник энергии всех процессов географической оболочки — Солнце.
	Вода испаряется с поверхности океана, охлаждается на высоте и образует облака.
	Конденсация — переход водяного пара в жидкое состояние.
	Горы формируются под действием внутренних сил Земли и разрушаются внешними силами, прежде всего выветриванием.
	Различают три вида выветривания: физическое, химическое и органическое.
	Фотосинтез и разложение органических остатков — важнейшие звенья химического круговорота веществ в природе.
	Климатические процессы лежат в основе формирования ПТК — природно-территориальных комплексов.
	Промышленные производства являются одним из факторов нарушения равновесия литосферы и атмосферы.
4	11. Углублённый уровень: НИШ/РФМШ Challenge
	Термодинамическая обратимость: круговорот воды в природе включает обратимые фазовые переходы — испарение, конденсацию и кристаллизацию. Однако антропогенное загрязнение воды и таяние ледников изменяют потоки энергии в природно-территориальных комплексах и увеличивают энтропию (меру неупорядоченности), способствуя климатическим изменениям.
	Динамическое равновесие эндогенных и экзогенных сил: горообразование, обусловленное внутренними силами, и выветривание, вызванное внешними силами, действуют одновременно. При преобладании внутренних сил формируются и растут молодые высокие горы, например Тянь-Шань; при преобладании внешних сил горы постепенно разрушаются и превращаются в старые низкогорья, например Сарыарку.
	Углеродный баланс и механизм парникового эффекта: содержащиеся в атмосфере парниковые газы, в том числе метан и водяной пар, пропускают коротковолновое солнечное излучение и задерживают часть длинноволнового теплового излучения Земли. Это один из физических механизмов глобального потепления.
	Концепция ноосферы (учение Вернадского): разумная деятельность человечества становится мощной геологической силой, способной изменять круговороты веществ на Земле. Этот этап характеризует переход биосферы к ноосфере — сфере разума.
	Связь силы Кориолиса и климатических потоков: вследствие вращения Земли вокруг оси океанические течения и воздушные массы отклоняются от прямолинейного движения — вправо в Северном полушарии и влево в Южном. Это влияет на секторное, или континентальное, распределение влаги и тепла в климатических поясах.
