TITLE	АГРЕГАТТЫҚ КҮЙЛЕР ЖӘНЕ ЗАТТАРДЫҢ ҚАСИЕТТЕРІ
	Үдеріс:Молекулалардыңжылулыққозғалысыныңжылдамдауыжәнеолардыңарақашықтығыныңартуы.
	Салдар:Заттыңқаттыкүйденсұйыққа (балқу) немесесұйықтангазға (булану/қайнау) ауысуы.
	2-байланыс:
	Себеп:Сыртқыатмосфералыққысымныңтөмендеуі (мысалы, биіктаулыжерлерде).
	Үдеріс:Букөпіршіктерініңсұйықішіндежеңілұлғайып, бетінешығыпжарылуынақарсылықтыңазаюы.
	Салдар:Сұйықтыңқайнаутемпературасытөмендейді (тауда су )-дентөментемпературадақайнайды).
4	5. Маңыздызаңдылықтар мен қасиеттердіңжіктелуі
a3	Жаратылыстанупәнібойыншаоқушыларзаттардыңмынадайнегізгіфизикалыққасиеттерінсипаттайалуыкерек:
	Тығыздық Көлем бірлігіндегі зат массасы. Зат тығыздығы судың тығыздығынан  төмен болса, ол су бетінде қалқиды. Мысалы, алып темір кемелердің суға батпауы — кеме ішіндегі ауа қуыстарымен біргеесептегендегіоныңорташатығыздығының су тығыздығынантөменболуынабайланысты.
	Аққыштық (Fluidity):Заттың аз ғанасыртқыкүштіңәсеріненөзініңпішінінөте тез өзгертуқабілеті .Сұйықтықтар мен газдарғатәннегізгіқасиет.
	Жылуөткізгіштік:Молекулалардыңжылулыққозғалысыарқылыэнергияныдененіңқаттықызғанбөлігінен аз қызғанбөлігіне беру қабілеті .Металдар — жақсыжылуөткізгіштер, ал ауа, пластмасса мен асбест — жылудынашарөткізеді (оқшаулағыштар).
	Электрөткізгіштік:Заттыңөзбойынанэлектртогын (бағытталғанзарядталғанбөлшектерді) өткізуқасиеті .Мысалы, таза су электртогыннашарөткізсе, оған ас тұзынқосқандатүзілгенерітіндітоктыөтежақсыөткізеді .
	Серпімділікжәнеиілімділік:Сыртқыкүшәсерінтоқтатқаннанкейіндененіңөзбастапқыпішінінқайтақалпынакелтіруі — серпімділік (мысалы, серіппе) . Ал сыртқыәсерденкейінөзгергенпішінінсақтапқалуы — иілімділік (мысалы, ермексаз) .
4	6. Тақырыпқаүлесқосқанғалымдар мен ашылулархронологиясы
	б.з.д. V ғасыр — Демокрит:Ежелгі грек ойшылы. Дүниедегібарлықзаттарөтеұсақ, бөлінбейтінбөлшектердентұрадыдегентұжырымжасап, оларды«атом»депатады .
	XVII ғасыр (1627–1691) — Роберт Бойль:Ағылшынфизигіжәнехимигі. Заттардыңқышқылдық, сілтілікортасынанықтайтынеңалғашқылакмус индикаторынойлаптапты .
	XVIII-XIX ғасырлар — Д.И. Менделеев:Жүйеліөлшемдердіңмаңыздылығын «Өлшеубасталғанжерденғылым да басталады» дегенатақтықағидасыменнегіздеді.
	XX ғасыр — Фриц Хенкель:Тұрмыстакеңіненқолданылатын, қаттыжәнеұнтақкүйіндекездесетінхимиялықзат — еңалғашқыкіржуғышұнтақтыойлаптапты .
4	7. Маңыздысандықжәнесапалықдеректер
5	Заттардыңбалқутемпературасыныңкөрсеткіштері:
a3	Заттардыңбалқужәнеқатутемператураларыбірдейболады.
TABLE	Р/с || Заттыңатауы || Балқутемпературасы, || Қолданылуы мен маңызы /// 1 || Мұз, қар ||  || Табиғаттағы су айналымыныңнегізі. /// 2 || Алюминий ||  || Күнделіктітұрмыстықыдыстар, сымдаржасау. /// 3 || Алтын ||  || Зергерлікбұйымдар мен мемлекеттікқорлар . /// 4 || Темір ||  || Ауырөнеркәсіп пен құрылысматериалдары. /// 5 || Вольфрам ||  || Қыздырушамдарыныңқылсымы (еңқиынбалқитын металл).
5	Қызықтысұрақ: Неліктенмылтықұңғысыбалқыпкетпейді?
a3	Оқ-дәрігазыжаныпжатқандаоныңтемпературасышамамен-гежетеді. Мылтықұңғысытемірден жасалса да балқымайды.
a3	Себебі:Оқатылғансәттеыстық газ бен ұңғыметаллыныңжанасууақытыөтеқысқаболады. Темірдіңжоғарыжылуөткізгіштігінеқарамастан, қысқа секунд ішіндежылутемірдіңбүкілмассасынатарапүлгермейдіжәне металл балқутемпературасынадейінқызыпүлгермейді.
5	Негізгіформулалар:
	Тығыздықформуласы:Мұндағы: — тығыздықнемесе— масса.
	Орташаарифметикалықмәндіесептеу (тәжірибеқателігіназайтуүшін):
	Ерігензаттыңмассалықүлесі :.
5	Есепмысалы (Тығыздыққа):
a3	Тапсырма:Көлемі0,002 м³ алюминий кесегініңмассасы5,4 кг. Алюминийдіңтығыздығынанықтаңдар.Шешуі:
4	8. Қазақстанғақатыстынақтымысалдар мен ұлттықөлшемдер
	Алтын кенорындары:Қазақстанбарланған алтын қорыбойыншаәлемде10-орында, ТМД-да 3-орында (шамамен\(13.4\text{ т}\) қор) тұр . Негізгіірікенорындары: Васильков, Бақыршық, Ақсу, Ақбақай, Ақжал, Суздаль .Бұлжерлерде алтын өзініңсафкүйінде — табиғиқарапайымзатретіндекездеседі .
	Асбест кенорындары:Еліміздегіеңіріотқатөзімді асбест кенорындарыҚостанайоблысындағыЖітіқаражәнеҚарағандыоблысындағыЖезқазғанмаңындаорналасқан . Асбест — жанбайтын, жылуөткізгіштігіөтетөменжалғызминералдыталшық .Оданөртсөндірушілердіңкиімдері мен балқытылғанметалменжұмысістейтінжұмысшылардыңарнайыкостюмдерідайындалады .
	Ежелгіқазақөлшембірліктері: ХІХ ғасырғадейінқазақхалқыкүнделіктітұрмыстанақтыөлшембірліктержүйесінқалыптастырған:
	Ұзындық:Қадам (адамаяғыныңадымы, шамамен, Құлаш (керілгенекіқолдыңарақашықтығы, шамамен.
	Масса:Пұт (шамамен, Қап (шамамен).
	Уақыт:Бие сауымуақыт (биесаууарасындағымерзім).
4	9. Зерттеутәжірибесі
a3	Тақырыбы: «Судыңқайнауүдерісінжәнеоныңтемпературалықкезеңдерінбақылау».
	Мақсат: Суды қыздырукезіндегітемпературалықөзгерістер мен бутүзілукезеңдерініңмеханизмінзерттеу.
	Гипотеза:Егер суды тоқтаусызқыздырсақ, оныңтемпературасы-ге жеткенде қайнау басталады және қайнау барысында температура өзгермей тұрақты сақталады.
	Құралдар:Жалынғатөзімдішыныыдыс (колба), су, термометр, спиртшамнемесеқыздырғыш, секундөлшеуіш.
	Айнымалылар:
	Тәуелсізайнымалы:Қыздырууақыты (берілетінжылумөлшері).
	Тәуелдіайнымалы:Судыңтемпературасыжәнебукөпіршіктерініңкүйі.
	Бақыланатын (тұрақты) жағдайлар:Судыңкөлемі, ыдыс түрі, қалыпты атмосфералық қысым.
	Тәжірибебарысы мен нәтижесі:
	деңгейінде:Колбаныңтабаны мен қабырғасындаерігенауадантұратынкішкентайкөпіршіктерпайдаболады.
	деңгейінде:Көпіршіктерұлғаябастайды. Судыңішіндегідыбыстықтолқындардыңәсерінентән «шуыл» (дыбыс) естіледі.
	деңгейінде:Ауакөпіршіктері Архимед күшіменжоғарыкөтеріліп, су бетіндеқарқындыжарылады, букөптепбөлінеді.
	деңгейінде (Қайнау басы):Шамамен 6 минуттанкейін су толыққайнайды. Судыңбүкілкөлеміқозғалысқакеледі. Термометр көрсеткіші су толықбуғаайналғаншатұрақты-та қатыптұрады.
	Қорытынды:Қайнау — тұрақтытемпературадасұйықтыңбүкілішкікөлеміндежүретінқарқындыбутүзілуүдерісі.
4	10. Оқушыларжиішатастыратынұғымдар
	БуланужәнеҚайнау:
	Қатетүсінік:Булану мен қайнау — бірүдеріс.
	Ғылымиақиқат:Буланукезкелгентемпературада тек сұйықтыңбетіндеғанажүреді. Қайнау тек нақтықайнаутемпературасындасұйықтыңбүкілкөлеміндежүретінқарқындыбутүзілу.
	Балқужәне Еру:
	Қатетүсінік:Қанттыңнемесетұздың суда жоғалыпкетуі — балқу.
	Ғылымиақиқат:Балқу — қаттызаттыңжылуәсеріненсұйыққаайналуы (мысалы, мұздыңсуғаайналуы). Еру — затбөлшектерініңеріткіш (су) бөлшектеріменараласып, біртектіжүйе (ерітінді) құруы.
	Температура жәнеЖылумөлшері:
	Қатетүсінік:Ыстықденедежылумөлшерікөп, сондықтаноныңтемпературасыжоғары.
	Ғылымиақиқат:Температура — бөлшектердіңорташакинетикалықэнергиясыныңөлшемі (жылулықкүйі). Жылумөлшері — жылуалмасукезіндедененіңалатыннемесеберетінішкіэнергиясыныңмөлшері.
4	11. Естесақтауғатиіс 12 маңызды факт
	Затүшнегізгіагрегаттықкүйдеболады: қатты, сұйық, газ.
	Молекулалардыңтербелісіқаттызаттардыңбалқуынаәкеледі.
	Балқужәнеқату (кристалдану) температураларыбірдей.
	Сұйықтыңішіндегібукөпіршіктері Архимед күшініңәсеріненжоғарыкөтеріледі.
	Қайнаукезіндесұйықтыңтемпературасыөзгермейді, тұрақтыболады.
	Қайнаутемпературасысыртқыатмосфералыққысымғатәуелді.
	Еңқиынбалқитын металл — вольфрам .
	Мұз бен қардыңбалқутемпературасы — .
	Темірдіңбалқутемпературасы — .
	Тығыздықкөлембірлігіндегімассаменанықталады.
	Асбест — Қазақстандаөндірілетін, өрткетөзімді, жылуөткізбейтінбірегейминерал .
	Пұт — қазақтың-ғатеңежелгі масса өлшемі.
4	12. Тереңдетілген деңгей: НИШ/РФМШ Challenge
	Қайнаутемпературасыныңқысымғатәуелділігі: Қайнаудыңжүзеге асу шарты — көпіршікішіндегібудыңқысымысыртқыатмосфералыққысымғатеңнемесеоданжоғарыболуытиіс. Қысымартса (мысалы, автоклавтанемесетереңшахтада) қайнаутемпературасыкүртартады. Керісінше, биіктаудақысымтөменболғандықтан су -та қайнапкетеді.
	Кристалл жәнеаморфденелердіңфазалықайырмашылығы: Кристалл денелердеқатаңбалқутемпературасыболады. Аморфденелерде (парафин, шыны, шайыр) нақтыбалқутемпературасыболмайды. Олардықыздырғанда кристалл тор бұзылмайды (себебіолжоқ), затбіртіндепжұмсарып, тұтқырлығыназайтып, сұйықкүйгеөтеді.
	Ішкі энергия мен Фазалықауысукезіндегіжылу балансы: Балқунемесеқайнауүдерісіжүріпжатқандаберілетінжылумолекулалардыңжылдамдығын (кинетикалықэнергиясын) арттыруғажұмсалмайды. Олмолекулаларарасындағытартылыскүштерінжеңіп, байланыстардыүзуге (потенциалдықэнергияныарттыруға) жұмсалады. Сондықтанфазалықауысуаяқталғанша температура тұрақтықалады.
	Қаныққанбусерпіні: Сұйықбетіненұшыпшыққанмолекулалар саны (булану) мен қайтаоралғанмолекулалар саны (конденсация) теңескендединамикалық тепе-теңдікорнайды. Бұлкүйдегібуқаныққанбудепаталады. Қаныққанбудыңеңбастыерекшелігі — оныңқысымыоныңкөлемінетәуелдіемес, тек температурағағанатәуелді.
	Термодинамикалықшкалаларбайланысы: Ғылымиесептеулерде Кельвин шкаласықолданылады. Абсолюттікнөлдік температура  — молекулалардың жылулық қозғалысы толығымен тоқтайтын шектік нүкте. Температуралықбайланысформуласы: )
