TITLE	ЭКОЛОГИЧЕСКАЯ ПИРАМИДА И ПОТОК ЭНЕРГИИ
	Результат: при солнечном освещении растение осуществляет фотосинтез. Вода испаряется, конденсируется на стенках банки и возвращается в почву каплями, формируя модель круговорота воды.
	Вывод: постоянное поступление солнечной энергии позволяет замкнутой системе длительное время поддерживать внутренние процессы.
4	10. Понятия, которые учащиеся часто путают
TABLE	Ошибочное представление || Научное объяснение /// Энергия полностью циркулирует в экосистеме || Вещества участвуют в круговоротах, а энергия не совершает полного круговорота: она проходит через трофические уровни и постепенно рассеивается в форме тепла. /// Правило 10% везде одинаково || 10% — усреднённая учебная оценка. Реальная эффективность передачи энергии между уровнями может заметно различаться в зависимости от организмов и условий среды.
4	11. 10 основных фактов, которые необходимо запомнить
	Пищевая цепь описывает движение вещества и энергии в экосистеме.
	Солнце — главный внешний источник энергии большинства экосистем.
	Прямые и обратные связи участвуют в регулировании численности популяций.
	По правилу Линдемана в упрощённой модели около 10% энергии каждого уровня передаётся на следующий.
	В школьной модели продукция и биомасса по трофическим уровням обычно уменьшаются примерно в 10 раз.
	Выделяют три типа экологических пирамид: пирамиды численности, биомассы и энергии.
	В исходном материале указано, что 50% атмосферного кислорода производит океанический фитопланктон.
	Уничтожение лесов создаёт риски для климатического и газового баланса планеты.
	Редуценты — микроорганизмы и грибы — разлагают мёртвые органические остатки до более простых веществ и возвращают элементы в круговорот.
	В приведённой расчётной модели для существования выдры массой 25 кг требуется 25 000 кг водорослей.
4	12. Углублённый уровень: НИШ/РФМШ Challenge
	Проявление первого и второго законов термодинамики в экосистеме: энергия в экосистеме не исчезает, а преобразуется из световой энергии Солнца в химическую энергию органических веществ. При каждом трофическом переходе часть энергии рассеивается в виде тепла, что связано с ростом энтропии.
	Механизм обращённой пирамиды биомассы: в некоторых водных экосистемах текущая биомасса фитопланктона может быть меньше биомассы зоопланктона. Это возможно благодаря высокой скорости размножения и обновления фитопланктона: он быстро потребляется, но столь же быстро восстанавливает свою численность и биомассу.
	Гомеостаз и буферная способность экосистем: устойчивость экосистемы во многом связана с видовым разнообразием и сложностью пищевой сети. Чем больше альтернативных трофических связей, тем выше вероятность того, что исчезновение одного звена будет частично компенсировано переходом потребителей на другие источники пищи.
