TITLE	АГРЕГАТНЫЕ СОСТОЯНИЯ И СВОЙСТВА ВЕЩЕСТВ
	Для чистого кристаллического вещества температура плавления и температура в-вавердевания при одинаковом давлении совпадают.
	Пузырьки пара в жидкости поднимаются под действием выталкивающей силы.
	Во время кипения при постоянном внешнем давлении температура чистой жидкости остаётся практически постоянной.
	Температура кипения зависит от внешнего давления.
	Вольфрам относится к металлам с одной из самых высоких температур плавления.
	Температура плавления льда при нормальном давлении составляет 0 °C.
	Температура плавления железа значительно выше 1000 °C.
	Плотность определяется отношением массы к объёму.
	Асбест — минерал, отличающийся высокой огнестойкостью и низкой теплопроводностью.
	Пуд — историческая мера массы, применявшаяся в том числе на территории Казахстана и Центральной Азии.
4	12. Углублённый уровень: НИШ/РФМШ Challenge
	Зависимость температуры кипения от давления: кипение начинается, когда давление насыщенного пара в пузырьках становится равным внешнему давлению. При повышении внешнего давления температура кипения возрастает, а при понижении — уменьшается.
	Фазовые различия кристаллических и аморфных тел: кристаллические вещества имеют определённую температуру плавления. Аморфные тела, например стекло, смолы и некоторые полимеры, не имеют строго выраженной точки плавления и при нагревании постепенно размягчаются.
	Внутренняя энергия и тепловой баланс при фазовом переходе: во время плавления или кипения подводимая энергия расходуется главным образом на изменение взаимодействия между частицами и увеличение потенциальной составляющей внутренней энергии. Поэтому до завершения фазового перехода температура при постоянном давлении остаётся постоянной.
	Давление насыщенного пара: при установлении динамического равновесия число молекул, покидающих поверхность жидкости, становится равным числу молекул, возвращающихся в жидкость. Такой пар называют насыщенным; его давление при равновесии определяется прежде всего температурой.
	Связь термодинамических температурных шкал: в научных расчётах применяется шкала Кельвина. Абсолютный нуль соответствует 0 К (−273,15 °C).
