TITLE	ЗЕМЛЯ КАК ЦЕЛОСТНАЯ СИСТЕМА
	Изменение одного компонента может привести к изменению всего ПТК.
	Около двух третей территории Казахстана занято сухими и пустынными ландшафтами.
	В процессе фотосинтеза солнечная энергия преобразуется в химическую энергию органических веществ.
	Внутренняя энергия Земли является одним из факторов движения литосферных плит.
4	11. Углублённый уровень: НИШ/РФМШ Challenge
	Геосистемное равновесие: способность природных систем к саморегуляции и самоочищению помогает им противостоять антропогенным воздействиям.
	Большой (геологический) и малый (биологический) круговороты веществ: геологический круговорот охватывает процессы продолжительностью миллионы лет, тогда как биологический круговорот осуществляется через живые организмы значительно быстрее.
	Процесс дегазации: происхождение первичной атмосферы и гидросферы связано с выделением газов и водяного пара из недр и мантии Земли.
	Зональность и азональность: закономерные изменения по широте связаны прежде всего с распределением солнечного тепла, тогда как азональные различия обусловлены внутренними силами Земли, геологическим строением и рельефом.
	Влияние суточных и годовых ритмов на биоритмы: физиологические процессы живых организмов приспособлены к периодическим изменениям среды, связанным с астрономическими движениями Земли.
	Энтропия и поток энергии: при передаче энергии по трофическим уровням её доступное количество уменьшается; круговорот веществ обеспечивает многократное использование химических элементов в экосистемах.
