TITLE	ҚЫШҚЫЛДАР, СІЛТІЛЕР ЖӘНЕ МАТЕРИАЛДАР
a3	Ғылымизерттеулердіңнегізіқұбылыстарарасындағысебеп-салдарзаңдылықтарынанықтауғабағытталған. Осы тақырыпбойыншамаңыздыбайланыстартөмендегідейөрбиді:
	1-байланыс (Асқазанқыжылдауы):
	Себеп:Асқазандатағамдықорытуүшінтұзқышқылының (HCl) артықмөлшердебөлінуі.
	Үдеріс:Асқазанортасыныңқышқылдығыныңтымартыпкетуі (қыжылдыңпайдаболуы).
	Салдар:Қышқылдықтытөмендетуүшінсілтілікқасиеті бар арнайыпрепараттардынемесе ас содасыерітіндісінқабылдап, ортаныбейтараптандыру.
	2-байланыс (Табиғаттағықорғанысмеханизмі):
	Себеп:Қалақайөсімдігініңнемесеараныңадамтерісінзақымдауы.
	Үдеріс:Жасушашырынынаннемесеуынанқұмырсқақышқылыныңбөлініп, терігеенуі.
	Салдар:Қаттыдуылдау мен ашуды басу үшінзақымдалғантұсқасілтілікортасы бар ас содасынботқатәріздіетіпжағунемесекірсабынменжуып, қышқылдыбейтараптандыру.
4	4. Маңыздызаңдылықтар, қасиеттер, жіктелулержәнесалыстырулар
5	А) Индикаторлартүсініңөзгерукестесі (Тәжірибелікзаңдылық):
a3	Ерітіндініңортасынабайланыстыиндикаторлардыңтүсітөмендегідейзаңдылықпенөзгереді:
TABLE	Индикатор атауы || Қышқылдықортада (pH< 7) || Бейтарапортада (pH = 7) || Сілтілікортада (pH > 7) /// Әмбебап индикатор || Қызыл, қызғылтсары || Күлгін, сары-жасыл || Көк, көгілдір /// Лакмус қағазы || Қызыл || Күлгін || Көк /// Фенолфталеин || Түссіз || Түссіз || Таңқурай (таңқурайқызыл) түсті
a3	Ескерту: Табиғи индикатор ретіндеқызылшашырыны мен шайды да қолдануғаболады. Шайға лимон қышқылын (қышқыл) қосқандаолбірденашықсарытүскеенеді, ал ас содасын (сілті) қосқандақараяды.
5	Ә) Органикалықжәнебейорганикалықзаттардысалыстыру:
a3	Заттардыңқұрылымы мен қасиеттеріолардыңшығутегінебайланыстыжіктеледі.
TABLE	Көрсеткіш || Органикалықзаттар || Бейорганикалықзаттар /// Көміртек (С) атомы || Міндеттітүрдеболады. || Болмайды (кейбіржағдайларданбасқа). /// Ыдырағыштығы || Қыздырғанда тез бұзылады, қараяды (көмірленеді). || Жоғарытемпературағатөзімді, балқунүктесіөтежоғары. /// Мысалдар || Қант, қойдыңмайы, целлюлоза, ақуыз, аспирин, пенициллин. || Ас тұзы, су, мәрмәр, құм.
5	Б) Табиғижәнежасандыматериалдарды (талшықтарды) салыстыру:
a3	Маталар мен талшықтардыңөзіндікерекшеліктері мен физикалыққасиеттеріболады.
TABLE	Мата қасиеттері || Мақта (Табиғи) || Жүн (Табиғи) || Вискоза (Жасанды) || Полиэстер (Синтетикалық) /// Ылғалтартуы || Өтежоғары. || Жоғары. || Жақсы. || Өтетөмен (ылғалтартпайды). /// Қыртыстануы || Өте тез қыртыстанады. || Нашарқыртыстанады. || Тез қыртыстанады. || Мүлдемқыртыстанбайды. /// Жануы || Жылдамжанады, қағазиісішығады. || Баяужанады, күйгеншашиісішығады. || Жанады, целлюлоза иісішығады. || Балқиды, қаттықаратүйіршіктүзеді.
4	5. Тақырыпқаүлесқосқанғалымдар мен зерттеушілер
	Роберт Бойль (1627–1691):Ағылшынфизигіәріхимигі. XVII ғасырдаалғашрет лакмус индикаторын (шегіргүлгүлі мен лакмус қынасысығындысынегізінде) ашып, заттардыңортасынанықтауүдерісінғылымғаенгізді.
	Антуан Лавуазье:Химиялықреакцияларкезіндезатмассасыныңсақталузаңынтұжырымдаған, қышқылдардыңқұрамында оттек боладыдепалғашқытеорияныұсынған.
	Фриц Хенкель:Тұрмыстық химия саласынаүлкенүлесқосып, ХVI ғасырдағыдеректергесүйенеотырып, алғашқысинтетикалықкіржуғышұнтақты (күрделісілтілікқоспа) ойлаптапқаннемісхимигі.
4	6. Маңыздысандықжәнесапалықдеректер
	рН шкаласыныңауқымы:ке дейін.
	Асбесттіңбірегейқасиеті:Ол — жұмсақ, отқамүлдемжанбайтын, жеңілжәнежылудынашарөткізетінжалғызминералдықталшықболыптабылады.
	Жасандыматериалдардыңэкологиялықпайдасы:Ғалымдардыңесептеуінше,  жасанды талшық өндіру шамамен  табиғи орман ресурстарынсақтапқалуғамүмкіндікбереді.
5	Маңызды Формула жәнеЕсептеу:
a3	Емтихандардаерітіндідегізаттыңконцентрациясынесептеужиікездеседі. Ерігензаттыңмассалықүлесі келесі формуламен есептеледі:
a3	Қарапайымесепмысалы: таза суда  лимон қышқылы ерітілді. Алынған ерітіндінің пайыздық концентрациясын (массалық үлесін) табыңдар. Шешуі:
	Ерітіндініңжалпымассасы: .
	Массалықүлес: . Жауабы: Лимон қышқылыерітіндісініңконцентрациясы — .
4	7. Маңыздыдаталар мен ғылымиашылулархронологиясы
	XVII ғасыр (1660-жылдар): Роберт Бойль индикаторлыққасиеті бар лакмус қағазынжасапшығарды.
	1909 ж.:Даниялық химик Сёренсенсутеккөрсеткіші рН шкаласыненгізді.
	1989 ж. 25 ақпан:Қазақстандажасандырадиоактивтіэлементтердіңәсерінеқарсыбағытталған «Невада-Семей» антиядролыққозғалысыбасталды.
4	8. Қазақстанғақатыстынақтымысалдар
	ЖітіқаражәнеЖезқазғанкенорындары:Қазақстандағыеңіріотқатөзімді асбест (минералдыталшық) кенорындары. Сондай-ақ асбест кеніБөгетсай мен ІлеАлатауындағы Хантау маңындаөндіріледі.
	Тұрмыстық химия зауыттары:Қазақстанныңіріқалаларында (Алматы, Шымкент) кіржуғышұнтақтар мен сабын (сілтілікортасы бар тұрмыстық химия) шығаратынкәсіпорындаржұмысістейді.
4	9. Тәжірибелікзерттеуүлгісі
a3	Тақырыбы: «Ас содасы мен лимон шырыныныңбейтараптандыруреакциясынзерттеу».
	Мақсат:Қышқыл мен сілтілікортасы бар заттардыңәрекеттесумеханизмінжәнеортаныңбейтараптануынбақылау.
	Гипотеза:Егерқышқылдықортасы бар лимон шырынынасілтілікқасиеті бар ас содасынқоссақ, бейтараптандыруреакциясыжүріп, орта бейтарапқажақындайды.
	Құралдар: Лимон шырыны (қышқыл), ас содасы, су, әмбебап индикатор қағазы, сынауық.
	Айнымалылар:
	Тәуелсізайнымалы:Қосылатын ас содасыныңмөлшері.
	Тәуелдіайнымалы: Индикатор қағазыныңтүсі (рН деңгейі).
	Бақыланатынжағдайлар:Бастапқы лимон шырыныныңкөлемі мен температурасы.
	Нәтиже: Лимон шырынықұйылғансынауыққа индикатор салғандатүсіқызыл (рН < 7) болды. Оғанбіртіндеп ас содасынқосқанда, газ көпіршіктерібелсендібөлініп, бейтараптандыруүдерісіжүрді. Реакция аяқталғанда индикатор қағазыныңтүсіжасыл-сары (рН \(\approx 7\), бейтарап) күйгеауысты.
	Қорытынды:Қышқыл мен сілтіөзараәрекеттескендебейтарап орта түзіледі, бұл — бейтараптандыруреакциясыболыптабылады.
4	10. Оқушыларжиішатастыратынұғымдар
TABLE	Шатастырылатынұғымдар || Қатетүсінік || Ғылымиақиқаттүсініктемесі /// ЖасандыжәнеСинтетикалықталшық || Бұлекеуібірмағынабереді, екеуі де мұнайданжасалады. || Жасандыталшықтабиғишикізаттан (мысалы, ағашцеллюлозасынан) химиялықөңдеуарқылыалынады (вискоза). Синтетикалықталшықтабиғаттамүлдемкездеспейтінжасандыполимерлерденсинтезделеді (полиэстер). /// Ара және Ара уынемдеу || Кез келген ара шаққандақышқылбөлінеді, сондықтансіркесуменсүртукерек. || Қалақай мен ара (оса) шаққандақұмырсқақышқылыбөлінеді, оны сілтімен (сабынмен, содамен) бейтараптандырады. Кейбіржәндіктерсілтілі у бөлсе, оны әлсізқышқылмен (сіркесумен) емдейді. /// Органикалықзаттар тек тірі || Органикалықзаттар тек тіріағзалардаболады, жансыззаттардакездеспейді. || Аспирин мен пенициллин зертханадажасандыжолменалынса да, құрамындакөміртекболғандықтанорганикалықзатқажатады.
4	11. Тақырыпбойыншаестесақтауғатиіс 10 негізгі факт
	Орта үштүрліболады: қышқылдық, сілтілікжәнебейтарап.
	рН көрсеткіші 7-ден аз болсақышқыл, 7-ге теңболсабейтарап, 7-ден көпболса сілтілік ортаны білдіреді.
	Индикаторларды XVII ғасырда Роберт Бойль кездейсоқжағдайдаашқан.
	Қышқылдардыңбарлығысұйықемес, мысалы лимон мен стеарин — қаттықышқылдар.
	Қалақайдыңқұрамындаадамтерісінкүйдіретінқұмырсқақышқылыболады.
	Қышқыл мен сілтіәрекеттескендебейтараптандыруреакциясыжүреді.
	Органикалықзаттардыңқұрамындаміндеттітүрдекөміртекэлементіболады.
	Асбест — отқамүлдемжанбайтынжалғызтабиғиминералдықталшық.
	Қазақстандағыеңірі асбест кенорындарыныңбірі — Жітіқарадаорналасқан.
	Жасандыталшықтардыпайдаланутабиғиормандардыкесуденсақтайды.
4	12. Тереңдетілген деңгей: НИШ/РФМШ Challenge
	Сутектіккөрсеткіштің (рН) логарифмдіктабиғаты: рН мәніжайғана сан емес, олсутекиондарыконцентрациясыныңтерісондықлогарифміболыптабылады: . Бұл дегеніміз, рН деңгейі 5-тен 4-ке өзгергенде, қышқылдық күші 1.5 есе емес, 10 есеартады. рН 6-дан 4-ке ауысқандақышқылдықкүші100 есеартады.
	Гидролиз үдерісі мен ортаныңөзгеруі:Көптегенбейорганикалықтұздар суда ерігендесуменәрекеттесіп (гидролизденіп), ортаныөзгертеді. Мысалы, ас содасы суда ерігенде әлсіз қышқыл мен күштісілтідентүзілгендіктен, ерітіндіде гидроксид иондары бөлініп, әлсіз сілтілік орта түзіледі.
	Буферлікжүйелер:Ағзадағы (мысалы, адамқанындағы) рН деңгейінтұрақтысақтауүшінбуферлікжүйелерқызметатқарады. Қанның рН деңгейішамалығана ауытқыса, ағзаның тіршілігі тоқтайды. Буферлік жүйелер сырттан қышқыл немесесілтіенгендеолардыбірденбайланыстырып, бейтараптандырады.
	Синтетикалықполимерлердіңдеструкциясы:Табиғиталшықтар (мақта, жүн) биоыдырағышболыпкеледі, ал синтетикалықталшықтар (полиэстер, акрил) сыртқы орта факторларына (ылғал, бактериялар) өтетөзімді. Олардыңтолықыдырауынажүздегенжылдарқажет, бұлғаламдықэкологиялықмәселелердітудырады.
	Анизотропия жәнетабиғиматалардыңфизикалыққасиеті:Табиғиталшықтардыңішкімолекулалыққұрылымыбіртектіемес (анизотропты). Мысалы, жүнталшықтарының сырты қабыршақтыболыпкеледі, бұлоныңжылудыжақсысақтауынажәнеылғалдысыртқабаяушығаруынамүмкіндікбереді, ал синтетикалықталшықтартолықтайбіртекті (изотропты) етіпбалқымадансозылыпалынады.
