TITLE	ЭНЕРГИЯ ТҮРЛЕРІ ЖӘНЕ ЭНЕРГИЯНЫҢ АЙНАЛУЫ
5	А) Энергетикалықресурстардыңғаламдықжәнеұлттықүлесі:
	Ғалымдардыңзерттеуінше, қазіргітаңдағыдүниежүзілікэнергетикалықсұраныскелесікөздерденқамтамасызетіледі:
	Мұнай:37%
	Табиғи газ:25%
	Көмір:21%
	Ядролықотын:9%
	Баламалы энергетика:8%
	Қазақстандаөндірілетінжалпыэлектрэнергиясының70%-ы тек қанадәстүрлікөмірдіжағуесебіненалынады.
	КүнненЖербетінекелетінэнергияныңжалпықуатыЖердегібарлықорганикалықотынныңәлеуеттіэнергиясынан6,7 есекөп. Алайдаадамзат осы сарқылмасқуаттың тек 0,5 пайызынғанатиімдіпайдаланады.
5	Ә) Жылубірліктерініңарақатынасы (Сапалық-сандықсәйкестік):
a3	Жылумөлшерінесептеудетарихиқалыптасқанөлшем — калория (кал)қолданылады. Калория —  судың температурасын1 С-гекөтеругеқажеттіжылумөлшері:
4	7. Формулаларжәнеесептеумысалдары
5	1. Кинетикалық энергия формуласы:
5	2. Отынжануыкезіндебөлінетінжылумөлшерініңформуласы:
5	3. Температуралық Цельсий мен Кельвин шкалаларыныңбайланысы:
5	Есепмысалы (ЖЭС-тегіотыншығынынесептеу):
a3	Тапсырма:Жылуэлектрстансасыныңбуқазандығындамассасы таскөмір толық жанды. Жану кезінде қанша жылу энергиясы бөлінеді? (Таскөмірдің меншікті жану жылуы.Шешуі:
	Формуланықолданамыз:
	Мәндерінорнынақоямыз: Жауабы:Таскөміржанғанда жылу энергиясы бөлінеді.
4	8. Қазақстанғақатыстынақтымысалдар мен маңыздынысандар
	«Бурное Солар-1» күнэлектрстансысы:Қазақстанның Жамбыл облысындаорналасқан, ОрталықАзиядағыеңірібаламалы энергия нысандарыныңбірі. Оныңбелгіленгенқуаты50 МВтқұрайдыжәнебұлқуаттышамамен200 мыңкүнпанельдері (жинақтамалары) өндіреді.
	ЭКСПО-2017 «Болашақтыңэнергиясы» көрмесі: Астана қаласындаөткенхалықаралықкөрмебаламалыжәнеэкологиялық таза энергия көздерін (жел, күн, су, сутегіотыны) дамытудыңҚазақстандағыжаңакезеңінайқындады.
	Ертісөзеніндегі СЭС каскадтары (Бұқтырма, Шүлбі, Өскемен):СудыңпотенциалдықжәнекинетикалықэнергиясынэлектрэнергиясынаайналдыратынҚазақстандағыеңірі су электрстансаларыболыптабылады.
4	9. Жүйедегі энергия өзгерісініңтізбегі (Энергия айналутізбегінқұру)
a3	Энергия біржүйеішіндеешқашанүзілмейтін, бірінен-бірінеауысатынтізбектіқұрайды. Мысалы, Жылуэлектрстансасынан (ЖЭС) бастапүйіміздегікіржуғышмашинағанемесешамғадейінгі энергия айналутізбегікелесідейболады:
a3	Көмірдің химиялық энергиясы → Жану үдерісі → Бу қазандығындағы судың ішкі (жылу) энергиясы
a3	↓
a3	Жоғары қысымды будың кинетикалық энергиясы → Бу турбинасы → Турбина білігінің механикалық энергиясы
a3	↓
a3	Электр генераторының электрлік энергиясы → Желілер арқылы тасымалдау → Тұтынушыдағы электр энергиясы
a3	↓
a3	Шаңсорғыш/мотордағы механикалық қозғалыс немесе Шамдардағы жарық пен жылу энергиясы
4	10. Тәжірибелікзерттеуүлгісі
a3	Тақырыбы: «Механикалықжұмыстыңүйкеліскүшіарқылыішкі (жылу) энергияғаайналуынзерттеу».
	Мақсаты:Үйкелісүдерісікезіндемеханикалықжұмыстыңжылуғаайналузаңдылығындәлелдеу.
	Гипотеза:Егерекідененібір-бірінеқаттыраққысып, ұзақуақытысқыласақ, үйкеліскүшікөпжұмысатқарады, сәйкесіншеішкі энергия көпартып, денелерқаттыраққызады.
	Құралдар:Ағаштақтайша, металл монета, секундөлшеуіш, термометр.
	Айнымалылар:
	Тәуелсізайнымалы:Монетанытақтайшағақысукүші (қысудәрежесі) жәнеысқылаужылдамдығы.
	Тәуелдіайнымалы:Монетаныңтемпературасыныңөзгерушамасы (қызудәрежесі).
	Бақыланатынжағдайлар:Ысқылаууақыты (60 секунд), монета мен тақтайшаның материалы.
	Тәжірибебарысы:
	Монетаныңбастапқыбөлметемпературасынөлшейміз.
	Монетанытақтайшағажеңілғанабасып, 60 секунд бойыәрі-беріысқылаймыз, соңындатемпературанытіркейміз.
	Монета суығаннанкейін, оны тақтайшағабарыншақаттықысыптұрып, дәлсондайжылдамдықпен 60 секунд бойыысқылаймыз. Температуранықайтаөлшейміз.
	Нәтиже:Жеңілысқылағанда монета шамалығанажылынды. Ал қаттыраққысыпысқылағандамонетаныңтемпературасыкүртжоғарылады (саусақтыкүйдіретіндейдеңгейгежетті).
	Қорытынды:Сыртқыкүштердіңжұмысынеғұрлымкөпболса, дененіңішкіэнергиясысоғұрлымкөпартады. Бұлмеханикалықэнергияныңішкіэнергияғаайналумеханизмінрастайды.
4	11. Оқушыларжиішатастыратынұғымдар
TABLE	Шатастырылатынұғымдар || Қатетүсінік || Ғылымиақиқаттүсініктемесі /// Энергия жоғалыпкетеді || Үйкеліскезіндеденетоқтағандаоныңмеханикалықэнергиясыбіржолажоғалыпкетеді. || Механикалық энергия жоғалмайды, олтолығымендененіңжәнеқоршағанортаныңішкіэнергиясына (жылуға)айналады. /// Температура жәнеЖылуэнергиясы || Температура мен жылуэнергиясы (жылумөлшері) — мағынасыбірдей, бірдейөлшенетіншамалар. || Температура — бөлшектердіңретсізқозғалысыныңорташакинетикалықэнергиясыныңөлшемі (өлшембірлігі:  немесе К). Жылуэнергиясы (Q) — жылуалмасукезіндеберілетін энергия мөлшері (өлшембірлігі: Джоуль). /// Баламалы энергия тек Күнненалынады || Баламалы энергия тек күнпанельдеріарқылыөндіріледі. || Баламалы (жаңғыратын) энергияғакүнненбөлекжел, геотермалдысулар, су ағыныжәне биомасса энергиясы да жатады.
4	12. Тақырыпбойыншаестесақтауғатиіс 10 негізгі факт
	Энергия — жұмысістеуқабілеті.
	Қозғалыстағыкезкелгендененіңкинетикалықэнергиясыболады.
	Тұйықталғанжүйедетолықмеханикалықжәнеішкі энергия тұрақтысақталады.
	Дәстүрліотындардың (көмір, мұнай, газ) энергиясынегізіненхимиялықбайланыстардасақталады.
	Электр энергиясынмеханикалықэнергияғаэлектр моторы арқылыайналдырамыз.
	Механикалықэнергияныэлектрэнергиясынаайналдыратынқұрылғы — генератор.
	Күн — Жердегібарлықтіршілік пен баламалыэнергияныңбастыбастауы.
	«Бурное Солар-1» — Қазақстандағыеңірікүнэлектрстансасы (50 МВт).
	Қазақстандағыэлектрэнергиясының 70%-ы көміржағуарқылыөндіріледі.
	Жылуберілудіңүштүрі бар: жылуөткізгіштік, конвекция жәнесәулешығару.
4	13. Тереңдетілген деңгей: НИШ/РФМШ Challenge
	Термодинамиканыңбіріншізаңыжәнеоныңматематикалықөрнегі:Жүйегеберілгенжылумөлшері оның ішкі энергиясының өзгеруіне  және жүйенің сыртқы күштергеқарсыатқаратынжұмысына жұмсалады:  Бұл заң энергияның сақталу заңының жылулық үдерістердегі көрінісі болып табылады.
	Энтропия және Энергия деградациясы:Энергияныңсақталузаңыбойыншаоныңмөлшеріөзгермейді, бірақжұмысістеубарысындаэнергияныңсапасытөмендейді. Пайдалыэнергияның (мысалы, электрнемесемеханикалық энергия) өздігіненпайдалылығытөменжылулықэнергияға (бөлшектердіңретсізқозғалысына) айналуүдерісі — энтропияныңартуынсипаттайды.
	Іштенжануқозғалтқыштарыныңтермодинамикалықциклі:Жанармайдыңхимиялықэнергиясыныңмеханикалықжұмысқаайналуы Карно циклібойыншажүзегеасады. ҚозғалтқыштыңПайдалыӘрекетКоэффициенті (ПӘК,  ешқашан 100%-ға жете алмайды, өйткеніжылудыңбірбөлігіміндеттітүрдесуытқышқа (қоршағанортаға) кетеді.
	Атом ядросыныңбайланысэнергиясыжәне Эйнштейн формуласы:Ядролықреакторларда уран ядроларыыдырағандабосапшығатынорасанзорядролық энергия масса ақауына (дефектісіне) негізделген. Оләйгілі Эйнштейн формуласыменсипатталады:  (мұндағы — жарық жылдамдығы).
	Термохимиялықтеңдеулердегіэкзотермиялықжәнеэндотермиялық эффект:Химиялық реакция кезіндежылубөлінсе — экзотермиялық (отынныңжануы), ал жылужұтылса — эндотермиялық (мысалы, судыңэлектролизі) реакция депаталады. Түзілужылуы мен реакцияның жылуэффектісітермохимиялықтеңдеулерарқылыдәлесептеледі.
